Actual/Predict,0,1,2,3,4,5,6,7,8,9,Recall
0,33,0,4,3,1,4,1,4,2,0,63.46
1,0,57,4,1,0,0,0,2,1,2,83.82
2,2,1,16,2,0,2,3,2,4,1,45.71
3,1,1,4,25,2,8,3,1,8,3,42.37
4,0,0,4,2,21,3,2,5,4,10,38.18
5,2,0,3,5,3,15,3,3,3,1,34.88
6,3,0,6,1,4,3,25,3,5,1,43.86
7,2,0,5,2,4,2,0,22,1,9,40.74
8,0,2,9,3,0,2,4,4,16,4,30.77
9,0,0,8,3,8,1,5,8,10,18,25.71
Precision,76.74,93.44,25.4,53.19,48.84,37.5,54.35,40.74,29.63,36.73
